,F1,aps,context,expID,method,samples,system,thres,wo_length
203,0.8333333333333334,,pathfinder,33,invite,32,drivetrain,,5
204,0.14968476713443157,0.056519403615951425,supervised,34,cosine,32,aircraft,0.12909944487358058,5
205,0.14968476713443157,,unsupervised,34,cosine,32,aircraft,0.10541586073500966,5
206,0.11111111111111112,,pathfinder,34,cosine,32,aircraft,,5
207,0.08124191461836998,0.06588501884553877,supervised,34,invite,32,aircraft,0.008006016948248687,5
208,0.07967914438502675,,unsupervised,34,invite,32,aircraft,0.009280065991580384,5
209,0.0962566844919786,,pathfinder,34,invite,32,aircraft,,5
210,0.6923076923076923,0.44312292176422613,supervised,35,cosine,32,bicycle,0.9239418756334645,5
211,0.4255319148936171,,unsupervised,35,cosine,32,bicycle,0.6161616161616161,5
212,0.6666666666666666,,pathfinder,35,cosine,32,bicycle,,5
213,1.0,1.0000000000000002,supervised,35,invite,32,bicycle,0.10328404375417907,5
214,0.9302325581395349,,unsupervised,35,invite,32,bicycle,0.020202020202020204,5
215,0.8888888888888888,,pathfinder,35,invite,32,bicycle,,5
216,0.6593406593406593,0.4159637332202887,supervised,36,cosine,56,drivetrain,0.5185629788417315,2
217,0.5442176870748299,,unsupervised,36,cosine,56,drivetrain,0.05277777777777777,2
218,0.7999999999999999,,pathfinder,36,cosine,56,drivetrain,,2
219,0.21875,0.13864658000298513,supervised,36,invite,56,drivetrain,0.022018520791685148,2
220,0.0,,unsupervised,36,invite,56,drivetrain,0.5305555555555556,2
221,0.16666666666666666,,pathfinder,36,invite,56,drivetrain,,2
222,0.05689747718733227,0.037322736220064906,supervised,37,cosine,56,aircraft,0.6666666666666669,2
223,0.0551795939614784,,unsupervised,37,cosine,56,aircraft,0.288677608374104,2
224,0.1405152224824356,,pathfinder,37,cosine,56,aircraft,,2
225,0.05013368983957219,0.026029416330675105,supervised,37,invite,56,aircraft,0.0024425088273460844,2
226,0.0,,unsupervised,37,invite,56,aircraft,0.5621088861076345,2
